User_ID;Poll_ID;Poll_Type;Poll_Question;Poll_Option;Survey_name;Submission_Date;Submission_Time
30df12f240b4b82a129547dd27aa6fda0cfd7955;26753771;Multiple choice (Single answer);Haben Sie schon mal einen Statistikkurs besucht?;ja;Datenerhebung;10/18/2022;16:12:58
1e16317d7e1999bd049af4e504178276f2de5911;26753771;Multiple choice (Single answer);Haben Sie schon mal einen Statistikkurs besucht?;nein;Datenerhebung;10/18/2022;16:13:12
51c17e87b0bcb4fe08e110450c983a28b774e33c;26753771;Multiple choice (Single answer);Haben Sie schon mal einen Statistikkurs besucht?;nein;Datenerhebung;10/18/2022;16:12:38
c6016bed7d3c2d53275f5f19a7a0a6f4ce1a93a6;26753771;Multiple choice (Single answer);Haben Sie schon mal einen Statistikkurs besucht?;ja;Datenerhebung;10/18/2022;16:13:10
6ff234036574d530f82adfdd571bb1f103de3f61;26753771;Multiple choice (Single answer);Haben Sie schon mal einen Statistikkurs besucht?;nein;Datenerhebung;10/18/2022;16:13:15
c9c2e05f6d5a26417e3c10c0631620ac3d182670;26753771;Multiple choice (Single answer);Haben Sie schon mal einen Statistikkurs besucht?;nein;Datenerhebung;10/18/2022;16:12:43
08014b53023807e44ebc1accde5447d8c098dbf6;26753771;Multiple choice (Single answer);Haben Sie schon mal einen Statistikkurs besucht?;nein;Datenerhebung;10/18/2022;16:13:06
b3d49f3ec83529e21be358ade7d0ee664ebb9399;26753771;Multiple choice (Single answer);Haben Sie schon mal einen Statistikkurs besucht?;nein;Datenerhebung;10/18/2022;16:12:58
a15d06915f6462a318af64ec1c7df965e9bf3f9c;26753771;Multiple choice (Single answer);Haben Sie schon mal einen Statistikkurs besucht?;ja;Datenerhebung;10/18/2022;16:12:58
dc572c5be726785fe956aabaf6d75e149b1f50ac;26753771;Multiple choice (Single answer);Haben Sie schon mal einen Statistikkurs besucht?;nein;Datenerhebung;10/18/2022;16:13:17
cfe19c9fb3b8876547a5b3a0fea5cfb3c94b6f58;26753771;Multiple choice (Single answer);Haben Sie schon mal einen Statistikkurs besucht?;nein;Datenerhebung;10/18/2022;16:13:17
