Haben Sie schon mal einen Statistikkurs besucht?;Wie viele Geschwister haben Sie?;Wie groß sind Sie (in cm)?;In welcher Übungsgruppe sind Sie?
nein;1;160;1
nein;1;176;4
nein;3;178 cm;3
nein;2;1,68;1
ja;3;183;1
nein;0;171;5
ja;3;180;1
ja;2;189;2
ja;2;1.62;1
nein;1;1.80;1
nein;1;162;5
ja;1;1,78;1
nein;1;189;2
nein;3;173;2
ja;1;196;2
nein;2;170;1
ja;2;185;2
nein;0;166cm;2
ja;2;172;1
nein;1;183;1
nein;1;159;5
nein;1;176;3
nein;1;176;4
nein;3;186;2
nein;1;176;3
nein;1;165;1
nein;1;167;1
nein;1;165;3
nein;1;170;5
ja;1;163;1
ja;1;170;5
nein;1;159;5
ja;0;180;4
ja;2;164;1
nein;1;168;2
nein;1;181;2
nein;1;167;3
nein;1;185 cm;5
ja;3;175;5
nein;2;192;3
nein;3;164;5
nein;1;178;5
nein;1;186;1
nein;2;180;4
ja;2;1,75;1
nein;1;171;2
nein;0;1,64;2
nein;1;195;5
nein;2;185;2
nein;1;185;5
nein;3;162;2
nein;2;164 cm;5
nein;2;168cm;1
nein;1;179;3
nein;1;186;3
nein;0;169cm;5
nein;1;171;4
nein;1;186;3
ja;1;175;3
nein;2;176;1
nein;5 und mehr;183;5
nein;0;173;1
nein;1;194;4
nein;2;164;1
nein;1;173;3
nein;1;168;4
nein;2;189;3
nein;3;156;4
nein;0;170;1
ja;2;195;3
nein;2;174;3
ja;3;183;1
nein;1;177;2
ja;1;176;1
nein;0;180;2
nein;0;187;2
nein;1;1,79;5
nein;5 und mehr;1,76;4
